Ref,Val,Package,PosX,PosY,Rot,Side
"GROUND0","","SJ",125.641100,-91.033600,180.000000,bottom
"AD0","6x1F-H8.5","1X06",171.361100,-129.133600,0.000000,top
"C1","100n","C0603-ROUND",132.626100,-116.306600,-90.000000,top
"C2","100n","C0603-ROUND",126.276100,-101.828600,180.000000,top
"C3","1u","C0603-ROUND",139.738100,-116.306600,90.000000,top
"C4","100n","C0603-ROUND",142.151100,-87.223600,180.000000,top
"C5","100n","C0603-ROUND",142.151100,-101.828600,0.000000,top
"C6","100n","C0603-ROUND",159.931100,-108.813600,0.000000,top
"C7","100n","C0603-ROUND",142.151100,-100.177600,0.000000,top
"C8","1u","C0603-ROUND",126.911100,-89.763600,180.000000,top
"C9","22p","C0603-ROUND",130.213100,-102.082600,180.000000,top
"C10","100n","C0603-ROUND",158.534100,-121.132600,180.000000,top
"C11","22p","C0603-ROUND",136.436100,-102.082600,0.000000,top
"D1","M7","SMB",135.801100,-128.879600,180.000000,top
"D2","CD1206-S01575","MINIMELF",173.647100,-103.733600,-90.000000,top
"D3","CD1206-S01575","MINIMELF",127.292100,-85.445600,90.000000,top
"F1","MF-MSMF050-2 500mA","L1812",118.275100,-105.130600,90.000000,top
"FD1","FIDUCIALMOUNT","FIDUCIA-MOUNT",120.561100,-81.762600,0.000000,top
"FD2","FIDUCIALMOUNT","FIDUCIA-MOUNT",168.051100,-114.932600,0.000000,top
"FD3","FIDUCIALMOUNT","FIDUCIA-MOUNT",117.941100,-128.263600,0.000000,top
"FRAME1","DNP","FRAME",114.211100,-131.673600,0.000000,top
"GND_TP0","TP_SP","TP-SP",157.391100,-129.133600,0.000000,top
"GND_TP1","TP_SP","TP-SP",140.627100,-80.873600,0.000000,top
"ICSP0","3x2 M","2X03",179.108100,-103.733600,-90.000000,top
"ICSP1","3x2 M","2X03",132.499100,-85.445600,180.000000,top
"IOH0","10x1F-H8.5","1X10",144.437100,-80.873600,180.000000,top
"IOL0","8x1F-H8.5","1X08",168.821100,-80.873600,180.000000,top
"JP2","2x2 M - NM","2X02",133.769100,-90.525600,90.000000,top
"L0","YELLOW","CHIP-LED0805",142.151100,-89.509600,-90.000000,top
"L1","BLM21","0805",121.831100,-86.588600,180.000000,top
"L2","10uH","0805",153.327100,-123.545600,0.000000,top
"ON0","GREEN","CHIP-LED0805",172.631100,-95.097600,-90.000000,top
"ORIGIN0","TP_SP","TP-SP",114.211100,-131.673600,0.000000,top
"PC1","47u","PANASONIC_D",139.738100,-122.529600,90.000000,top
"PC2","47u","PANASONIC_D",132.626100,-122.529600,90.000000,top
"POWER0","8x1F-H8.5","1X08",151.041100,-129.133600,0.000000,top
"R1","1M","R0603-ROUND",133.261100,-102.082600,0.000000,top
"R2","1M","R0603-ROUND",155.486100,-108.940600,180.000000,top
"RESET-EN0","","SJ",142.151100,-104.368600,0.000000,top
"RESET0","TS42031-160R-TR-7260","TS42",120.561100,-82.270600,0.000000,top
"RN1","10K","CAY16",142.151100,-107.797600,90.000000,top
"RN2","1K","CAY16",142.151100,-92.303600,-90.000000,top
"RN3","22R","CAY16",127.038100,-94.843600,90.000000,top
"RN4","1K","CAY16",172.631100,-97.891600,90.000000,top
"RX0","YELLOW","CHIP-LED0805",142.151100,-97.383600,90.000000,top
"T1","FDN340P","SOT-23",122.339100,-105.130600,-90.000000,top
"TP_0","TP_SP","TP-SP",177.711100,-80.873600,0.000000,top
"TP_1","TP_SP","TP-SP",175.171100,-80.873600,0.000000,top
"TP_2","TP_SP","TP-SP",172.631100,-80.873600,0.000000,top
"TP_3","TP_SP","TP-SP",170.091100,-80.873600,0.000000,top
"TP_3V3","TP_SP","TP-SP",149.771100,-129.133600,0.000000,top
"TP_4","TP_SP","TP-SP",167.551100,-80.873600,0.000000,top
"TP_5","TP_SP","TP-SP",165.011100,-80.873600,0.000000,top
"TP_5V0","TP_SP","TP-SP",152.311100,-129.133600,0.000000,top
"TP_5V1","TP_SP","TP-SP",180.378100,-101.193600,0.000000,top
"TP_6","TP_SP","TP-SP",162.471100,-80.873600,0.000000,top
"TP_7","TP_SP","TP-SP",159.931100,-80.873600,0.000000,top
"TP_8","TP_SP","TP-SP",155.867100,-80.873600,0.000000,top
"TP_9","TP_SP","TP-SP",153.327100,-80.873600,0.000000,top
"TP_10","TP_SP","TP-SP",150.787100,-80.873600,0.000000,top
"TP_11","TP_SP","TP-SP",148.247100,-80.873600,0.000000,top
"TP_12","TP_SP","TP-SP",145.707100,-80.873600,0.000000,top
"TP_13","TP_SP","TP-SP",143.167100,-80.873600,0.000000,top
"TP_A0","TP_SP","TP-SP",165.011100,-129.133600,0.000000,top
"TP_A1","TP_SP","TP-SP",167.551100,-129.133600,0.000000,top
"TP_A2","TP_SP","TP-SP",170.091100,-129.133600,0.000000,top
"TP_A3","TP_SP","TP-SP",172.631100,-129.133600,0.000000,top
"TP_A4","TP_SP","TP-SP",175.171100,-129.133600,0.000000,top
"TP_A5","TP_SP","TP-SP",177.711100,-129.133600,0.000000,top
"TP_AREF0","TP_SP","TP-SP",138.087100,-80.873600,0.000000,top
"TP_CMP0","TP_SP","TP-SP",144.183100,-108.305600,0.000000,top
"TP_D+0","TP_SP","TP-SP",120.180100,-92.303600,0.000000,top
"TP_D-0","TP_SP","TP-SP",122.720100,-92.303600,0.000000,top
"TP_DTR0","TP_SP","TP-SP",140.119100,-101.828600,0.000000,top
"TP_GATE0","TP_SP","TP-SP",126.276100,-110.210600,0.000000,top
"TP_LCMD0","TP_SP","TP-SP",133.134100,-110.591600,0.000000,top
"TP_LL0","TP_SP","TP-SP",139.738100,-88.493600,0.000000,top
"TP_MISO2","TP_SP","TP-SP",135.039100,-84.175600,0.000000,top
"TP_MOSI2","TP_SP","TP-SP",132.499100,-86.715600,0.000000,top
"TP_ONL0","TP_SP","TP-SP",170.853100,-96.621600,0.000000,top
"TP_PB4","TP_SP","TP-SP",135.039100,-91.795600,0.000000,top
"TP_PB5","TP_SP","TP-SP",135.039100,-89.255600,0.000000,top
"TP_PB6","TP_SP","TP-SP",132.499100,-91.795600,0.000000,top
"TP_PB7","TP_SP","TP-SP",132.499100,-89.255600,0.000000,top
"TP_PWRIN0","TP_SP","TP-SP",127.419100,-123.418600,0.000000,top
"TP_RESET0","TP_SP","TP-SP",147.231100,-129.133600,0.000000,top
"TP_RESET2","TP_SP","TP-SP",129.959100,-84.175600,0.000000,top
"TP_RX0","TP_SP","TP-SP",166.662100,-97.510600,0.000000,top
"TP_RXL0","TP_SP","TP-SP",145.580100,-95.986600,0.000000,top
"TP_SCK2","TP_SP","TP-SP",132.499100,-84.175600,0.000000,top
"TP_SCL0","TP_SP","TP-SP",133.007100,-80.873600,0.000000,top
"TP_SDA0","TP_SP","TP-SP",135.547100,-80.873600,0.000000,top
"TP_TX0","TP_SP","TP-SP",165.265100,-99.669600,0.000000,top
"TP_TXL0","TP_SP","TP-SP",145.580100,-92.938600,0.000000,top
"TP_UGND0","TP_SP","TP-SP",120.180100,-94.843600,0.000000,top
"TP_USBVCC0","TP_SP","TP-SP",124.117100,-100.812600,0.000000,top
"TP_USH0","TP_SP","TP-SP",123.228100,-88.874600,0.000000,top
"TP_VIN0","TP_SP","TP-SP",159.931100,-129.133600,0.000000,top
"TP_VUCAP0","TP_SP","TP-SP",129.197100,-89.763600,0.000000,top
"TP_XT1","TP_SP","TP-SP",156.756100,-111.480600,0.000000,top
"TP_XT2","TP_SP","TP-SP",154.216100,-111.480600,0.000000,top
"TP_XT3","TP_SP","TP-SP",130.594100,-105.511600,0.000000,top
"TP_XT4","TP_SP","TP-SP",135.674100,-105.511600,0.000000,top
"TP_XUSB0","TP_SP","TP-SP",122.720100,-94.843600,0.000000,top
"TX0","YELLOW","CHIP-LED0805",142.151100,-95.097600,90.000000,top
"U1","NCP1117ST50T3G","SOT223",121.958100,-114.274600,90.000000,top
"U2","LP2985-33DBVR","SOT23-DBV",136.182100,-116.433600,-90.000000,top
"U3","ATMEGA16U2-MU(R)","MLF32",134.150100,-97.002600,90.000000,top
"U5","LMV358IDGKR","MSOP08",133.261100,-111.353600,90.000000,top
"UNK_HOLE_0","","dummyfp0",180.251100,-96.113600,0.000000,top
"UNK_HOLE_1","","dummyfp1",180.251100,-124.053600,0.000000,top
"UNK_HOLE_2","","dummyfp2",129.451100,-80.873600,0.000000,top
"UNK_HOLE_3","","dummyfp3",128.181100,-129.133600,0.000000,top
"X1","POWERSUPPLY_DC21MMX","POWERSUPPLY_DC-21MM",119.545100,-123.291600,90.000000,top
"X2","USB-B_TH","PN61729",118.021100,-93.573600,-90.000000,top
"Y1","16MHz","QS",133.134100,-105.511600,180.000000,top
"Y2","CSTCE16M0V53-R0 16MHZ","RESONATOR",155.486100,-106.781600,0.000000,top
"Z1","CG0603MLC-05E","CT_CN0603",126.911100,-92.303600,180.000000,top
"Z2","CG0603MLC-05E","CT_CN0603",126.911100,-98.018600,180.000000,top
"ZU4","ATMEGA328P-PU","DIL28-3",160.566100,-115.290600,180.000000,top
